"Name","Version","Vendor"
"Microsoft Windows Desktop Runtime - 9.0.16 (x64)","72.64.52194","Microsoft Corporation"
"Microsoft Windows Desktop Targeting Pack - 10.0.3 (x64)","80.12.47319","Microsoft Corporation"
"Microsoft Windows Desktop Targeting Pack - 10.0.4 (x64)","80.16.48830","Microsoft Corporation"
"Microsoft Windows Desktop Targeting Pack - 10.0.8 (x64)","80.32.52183","Microsoft Corporation"
"Microsoft Windows Desktop Targeting Pack - 11.0.0 Preview 1 (x64)","88.0.48582","Microsoft Corporation"
"Microsoft Windows Desktop Targeting Pack - 11.0.0 Preview 4 (x64)","88.0.52195","Microsoft Corporation"
"Microsoft Windows Desktop Targeting Pack - 3.0.0 (x64)","24.0.28113",
"Microsoft Windows Desktop Targeting Pack - 3.1.0 (x64)","24.64.28315",
"Microsoft Windows Desktop Targeting Pack - 5.0.0 (x64)","40.0.29420",
"Microsoft Windows Desktop Targeting Pack - 6.0.36 (x64)","48.144.23186",
"Microsoft Windows Desktop Targeting Pack - 7.0.20 (x64)","56.80.15245",
"Microsoft Windows Desktop Targeting Pack - 8.0.23 (x64)","64.92.45458","Microsoft Corporation"
"Microsoft Windows Desktop Targeting Pack - 8.0.24 (x64)","64.96.47265","Microsoft Corporation"
"Microsoft Windows Desktop Targeting Pack - 8.0.25 (x64)","64.100.48707","Microsoft Corporation"
"Microsoft Windows Desktop Targeting Pack - 8.0.26 (x64)","64.104.50433","Microsoft Corporation"
"Microsoft Windows Desktop Targeting Pack - 8.0.27 (x64)","64.108.52193","Microsoft Corporation"
"Microsoft Windows Desktop Targeting Pack - 9.0.12 (x64)","72.48.45460","Microsoft Corporation"
"Microsoft Windows Desktop Targeting Pack - 9.0.13 (x64)","72.52.47159","Microsoft Corporation"
"Microsoft Windows Desktop Targeting Pack - 9.0.14 (x64)","72.56.48819","Microsoft Corporation"
"Microsoft Windows Desktop Targeting Pack - 9.0.15 (x64)","72.60.50530","Microsoft Corporation"
"Microsoft Windows Desktop Targeting Pack - 9.0.16 (x64)","72.64.52194","Microsoft Corporation"
"Microsoft XNA Framework Redistributable 4.0","4.0.20823.0","Microsoft Corporation"
"Microsoft XNA Framework Redistributable 4.0 Refresh","4.0.30901.0","Microsoft Corporation"
"Microsoft.NET.Sdk.Android.Manifest-10.0.100 (x64)","36.1.2","Microsoft Corporation"
"Microsoft.NET.Sdk.Android.Manifest-11.0.100-preview.1 (x64)","33.204.47415","Microsoft Corporation"
"Microsoft.NET.Sdk.Android.Manifest-6.0.300","128.75.16384",
"Microsoft.NET.Sdk.Android.Manifest-7.0.100 (x64)","33.0.4",
"Microsoft.NET.Sdk.Android.Manifest-8.0.100 (x64)","34.0.43","Microsoft Corporation"
"Microsoft.NET.Sdk.Android.Manifest-9.0.100 (x64)","35.0.7","Microsoft Corporation"
"Microsoft.NET.Sdk.Aspire.Manifest-8.0.100 (x64)","64.0.5426","Microsoft Corporation"
"Microsoft.NET.Sdk.Aspire.Manifest-8.0.100 (x64)","64.136.23253","Microsoft Corporation"
"Microsoft.NET.Sdk.iOS.Manifest-10.0.100 (x64)","26.0.11017","Microsoft Corporation"
"Microsoft.NET.Sdk.iOS.Manifest-11.0.100-preview.1 (x64)","26.2.11310","Microsoft Corporation"
"Microsoft.NET.Sdk.iOS.Manifest-6.0.300","125.191.42208",
"Microsoft.NET.Sdk.iOS.Manifest-7.0.100 (x64)","16.0.0",
"Microsoft.NET.Sdk.iOS.Manifest-8.0.100 (x64)","17.0.8478","Microsoft Corporation"
"Microsoft.NET.Sdk.iOS.Manifest-9.0.100 (x64)","18.0.9617","Microsoft Corporation"
"Microsoft.NET.Sdk.MacCatalyst.Manifest-10.0.100 (x64)","26.0.11017","Microsoft Corporation"
"Microsoft.NET.Sdk.MacCatalyst.Manifest-11.0.100-preview.1 (x64)","26.2.11310","Microsoft Corporation"
"Microsoft.NET.Sdk.MacCatalyst.Manifest-6.0.300","125.191.42208",
"Microsoft.NET.Sdk.MacCatalyst.Manifest-7.0.100 (x64)","15.4.0",
"Microsoft.NET.Sdk.MacCatalyst.Manifest-8.0.100 (x64)","17.0.8478","Microsoft Corporation"
"Microsoft.NET.Sdk.MacCatalyst.Manifest-9.0.100 (x64)","18.0.9617","Microsoft Corporation"
"Microsoft.NET.Sdk.macOS.Manifest-10.0.100 (x64)","26.0.11017","Microsoft Corporation"
"Microsoft.NET.Sdk.macOS.Manifest-11.0.100-preview.1 (x64)","26.2.11310","Microsoft Corporation"
"Microsoft.NET.Sdk.macOS.Manifest-6.0.300","100.255.42208",
"Microsoft.NET.Sdk.macOS.Manifest-7.0.100 (x64)","12.3.0",
"Microsoft.NET.Sdk.macOS.Manifest-8.0.100 (x64)","14.0.8478","Microsoft Corporation"
"Microsoft.NET.Sdk.macOS.Manifest-9.0.100 (x64)","15.0.9617","Microsoft Corporation"
"Microsoft.NET.Sdk.Maui.Manifest-10.0.100 (x64)","10.0.0","Microsoft Corporation"
"Microsoft.NET.Sdk.Maui.Manifest-11.0.100-preview.1 (x64)","88.0.48554","Microsoft Corporation"
"Microsoft.NET.Sdk.Maui.Manifest-6.0.300","24.78.0",
"Microsoft.NET.Sdk.Maui.Manifest-7.0.100 (x64)","7.0.49",
"Microsoft.NET.Sdk.Maui.Manifest-8.0.100 (x64)","8.0.3","Microsoft Corporation"
"Microsoft.NET.Sdk.Maui.Manifest-9.0.100 (x64)","9.0.0","Microsoft Corporation"
"Microsoft.NET.Sdk.tvOS.Manifest-10.0.100 (x64)","26.0.11017","Microsoft Corporation"
"Microsoft.NET.Sdk.tvOS.Manifest-11.0.100-preview.1 (x64)","26.2.11310","Microsoft Corporation"
"Microsoft.NET.Sdk.tvOS.Manifest-6.0.300","125.191.42208",
"Microsoft.NET.Sdk.tvOS.Manifest-7.0.100 (x64)","16.0.0",
"Microsoft.NET.Sdk.tvOS.Manifest-8.0.100 (x64)","17.0.8478","Microsoft Corporation"
"Microsoft.NET.Sdk.tvOS.Manifest-9.0.100 (x64)","18.0.9617","Microsoft Corporation"
"Microsoft.NET.Workload.Emscripten.Current.Manifest (x64)","72.56.52051","Microsoft Corporation"
"Microsoft.NET.Workload.Emscripten.Current.Manifest (x64)","72.56.48675","Microsoft Corporation"
"Microsoft.NET.Workload.Emscripten.Current.Manifest (x64)","64.104.50388","Microsoft Corporation"
"Microsoft.NET.Workload.Emscripten.Current.Manifest (x64)","64.96.47011","Microsoft Corporation"
"Microsoft.NET.Workload.Emscripten.Current.Manifest (x64)","72.56.50513","Microsoft Corporation"
"Microsoft.NET.Workload.Emscripten.Current.Manifest (x64)","64.108.52097","Microsoft Corporation"
"Microsoft.NET.Workload.Emscripten.Current.Manifest (x64)","64.92.45353","Microsoft Corporation"
"Microsoft.NET.Workload.Emscripten.Current.Manifest (x64)","72.52.45351","Microsoft Corporation"
"Microsoft.NET.Workload.Emscripten.Current.Manifest (x64)","72.56.47012","Microsoft Corporation"
"Microsoft.NET.Workload.Emscripten.Current.Manifest (x64)","64.100.48546","Microsoft Corporation"
"Microsoft.NET.Workload.Emscripten.Current.Manifest-10.0.100 (x64)","81.160.48830","Microsoft Corporation"
"Microsoft.NET.Workload.Emscripten.Current.Manifest-10.0.100 (x64)","81.176.52183","Microsoft Corporation"
"Microsoft.NET.Workload.Emscripten.Current.Manifest-10.0.100 (x64)","81.156.47319","Microsoft Corporation"
"Microsoft.NET.Workload.Emscripten.Current.Manifest-11.0.100-preview.1 (x64)","89.144.48582","Microsoft Corporation"
"Microsoft.NET.Workload.Emscripten.Current.Manifest-11.0.100-preview.4 (x64)","89.144.52195","Microsoft Corporation"
"Microsoft.NET.Workload.Emscripten.Manifest (x64)","48.144.23281",
"Microsoft.NET.Workload.Emscripten.net10.Manifest-11.0.100-preview.1 (x64)","89.144.48582","Microsoft Corporation"
"Microsoft.NET.Workload.Emscripten.net10.Manifest-11.0.100-preview.4 (x64)","89.144.52195","Microsoft Corporation"
"Microsoft.NET.Workload.Emscripten.net6.Manifest (x64)","64.104.50388","Microsoft Corporation"
"Microsoft.NET.Workload.Emscripten.net6.Manifest (x64)","64.96.47011","Microsoft Corporation"
"Microsoft.NET.Workload.Emscripten.net6.Manifest (x64)","72.56.47012","Microsoft Corporation"
"Microsoft.NET.Workload.Emscripten.net6.Manifest (x64)","64.100.48546","Microsoft Corporation"
"Microsoft.NET.Workload.Emscripten.net6.Manifest (x64)","72.52.45351","Microsoft Corporation"
"Microsoft.NET.Workload.Emscripten.net6.Manifest (x64)","72.56.52051","Microsoft Corporation"
"Microsoft.NET.Workload.Emscripten.net6.Manifest (x64)","72.56.48675","Microsoft Corporation"
"Microsoft.NET.Workload.Emscripten.net6.Manifest (x64)","72.56.50513","Microsoft Corporation"
"Microsoft.NET.Workload.Emscripten.net6.Manifest (x64)","64.92.45353","Microsoft Corporation"
"Microsoft.NET.Workload.Emscripten.net6.Manifest (x64)","64.108.52097","Microsoft Corporation"
"Microsoft.NET.Workload.Emscripten.net6.Manifest (x64)","56.80.15172",
"Microsoft.NET.Workload.Emscripten.net6.Manifest-10.0.100 (x64)","81.156.47319","Microsoft Corporation"
"Microsoft.NET.Workload.Emscripten.net6.Manifest-10.0.100 (x64)","81.176.52183","Microsoft Corporation"
"Microsoft.NET.Workload.Emscripten.net6.Manifest-10.0.100 (x64)","81.160.48830","Microsoft Corporation"
"Microsoft.NET.Workload.Emscripten.net6.Manifest-11.0.100-preview.1 (x64)","89.144.48582","Microsoft Corporation"
"Microsoft.NET.Workload.Emscripten.net6.Manifest-11.0.100-preview.4 (x64)","89.144.52195","Microsoft Corporation"
"Microsoft.NET.Workload.Emscripten.net7.Manifest (x64)","64.96.47011","Microsoft Corporation"
"Microsoft.NET.Workload.Emscripten.net7.Manifest (x64)","72.56.47012","Microsoft Corporation"
"Microsoft.NET.Workload.Emscripten.net7.Manifest (x64)","64.92.45353","Microsoft Corporation"
"Microsoft.NET.Workload.Emscripten.net7.Manifest (x64)","64.108.52097","Microsoft Corporation"
"Microsoft.NET.Workload.Emscripten.net7.Manifest (x64)","72.56.50513","Microsoft Corporation"
"Microsoft.NET.Workload.Emscripten.net7.Manifest (x64)","72.56.52051","Microsoft Corporation"
"Microsoft.NET.Workload.Emscripten.net7.Manifest (x64)","64.100.48546","Microsoft Corporation"
"Microsoft.NET.Workload.Emscripten.net7.Manifest (x64)","72.52.45351","Microsoft Corporation"
"Microsoft.NET.Workload.Emscripten.net7.Manifest (x64)","72.56.48675","Microsoft Corporation"
"Microsoft.NET.Workload.Emscripten.net7.Manifest (x64)","56.80.15172",
"Microsoft.NET.Workload.Emscripten.net7.Manifest (x64)","64.104.50388","Microsoft Corporation"
"Microsoft.NET.Workload.Emscripten.net7.Manifest-10.0.100 (x64)","81.176.52183","Microsoft Corporation"
"Microsoft.NET.Workload.Emscripten.net7.Manifest-10.0.100 (x64)","81.156.47319","Microsoft Corporation"
"Microsoft.NET.Workload.Emscripten.net7.Manifest-10.0.100 (x64)","81.160.48830","Microsoft Corporation"
"Microsoft.NET.Workload.Emscripten.net7.Manifest-11.0.100-preview.1 (x64)","89.144.48582","Microsoft Corporation"
"Microsoft.NET.Workload.Emscripten.net7.Manifest-11.0.100-preview.4 (x64)","89.144.52195","Microsoft Corporation"
"Microsoft.NET.Workload.Emscripten.net8.Manifest (x64)","72.56.47012","Microsoft Corporation"
"Microsoft.NET.Workload.Emscripten.net8.Manifest (x64)","72.56.52051","Microsoft Corporation"
"Microsoft.NET.Workload.Emscripten.net8.Manifest (x64)","72.56.48675","Microsoft Corporation"
"Microsoft.NET.Workload.Emscripten.net8.Manifest (x64)","72.56.50513","Microsoft Corporation"
"Microsoft.NET.Workload.Emscripten.net8.Manifest (x64)","72.52.45351","Microsoft Corporation"
"Microsoft.NET.Workload.Emscripten.net8.Manifest-10.0.100 (x64)","81.176.52183","Microsoft Corporation"
"Microsoft.NET.Workload.Emscripten.net8.Manifest-10.0.100 (x64)","81.160.48830","Microsoft Corporation"
"Microsoft.NET.Workload.Emscripten.net8.Manifest-10.0.100 (x64)","81.156.47319","Microsoft Corporation"
"Microsoft.NET.Workload.Emscripten.net8.Manifest-11.0.100-preview.1 (x64)","89.144.48582","Microsoft Corporation"
"Microsoft.NET.Workload.Emscripten.net8.Manifest-11.0.100-preview.4 (x64)","89.144.52195","Microsoft Corporation"
"Microsoft.NET.Workload.Emscripten.net9.Manifest-10.0.100 (x64)","81.176.52183","Microsoft Corporation"
"Microsoft.NET.Workload.Emscripten.net9.Manifest-10.0.100 (x64)","81.156.47319","Microsoft Corporation"
"Microsoft.NET.Workload.Emscripten.net9.Manifest-10.0.100 (x64)","81.160.48830","Microsoft Corporation"
"Microsoft.NET.Workload.Emscripten.net9.Manifest-11.0.100-preview.1 (x64)","89.144.48582","Microsoft Corporation"
"Microsoft.NET.Workload.Emscripten.net9.Manifest-11.0.100-preview.4 (x64)","89.144.52195","Microsoft Corporation"
"Microsoft.NET.Workload.Mono.Toolchain.Current.Manifest (x64)","64.104.50421","Microsoft Corporation"
"Microsoft.NET.Workload.Mono.Toolchain.Current.Manifest (x64)","72.0.47121","Microsoft Corporation"
"Microsoft.NET.Workload.Mono.Toolchain.Current.Manifest (x64)","64.92.45415","Microsoft Corporation"
"Microsoft.NET.Workload.Mono.Toolchain.Current.Manifest (x64)","72.0.50518","Microsoft Corporation"
"Microsoft.NET.Workload.Mono.Toolchain.Current.Manifest (x64)","64.100.48707","Microsoft Corporation"
"Microsoft.NET.Workload.Mono.Toolchain.Current.Manifest (x64)","72.0.45417","Microsoft Corporation"
"Microsoft.NET.Workload.Mono.Toolchain.Current.Manifest (x64)","64.108.52182","Microsoft Corporation"
"Microsoft.NET.Workload.Mono.Toolchain.Current.Manifest (x64)","72.0.48826","Microsoft Corporation"
"Microsoft.NET.Workload.Mono.Toolchain.Current.Manifest (x64)","64.96.47242","Microsoft Corporation"
"Microsoft.NET.Workload.Mono.Toolchain.Current.Manifest (x64)","72.0.52183","Microsoft Corporation"
"Microsoft.NET.Workload.Mono.Toolchain.Current.Manifest-10.0.100 (x64)","81.176.52183","Microsoft Corporation"
"Microsoft.NET.Workload.Mono.Toolchain.Current.Manifest-10.0.100 (x64)","81.160.48830","Microsoft Corporation"
"Microsoft.NET.Workload.Mono.Toolchain.Current.Manifest-10.0.100 (x64)","81.156.47319","Microsoft Corporation"
"Microsoft.NET.Workload.Mono.Toolchain.Current.Manifest-11.0.100-preview.1 (x64)","89.144.48582","Microsoft Corporation"
"Microsoft.NET.Workload.Mono.Toolchain.Current.Manifest-11.0.100-preview.4 (x64)","89.144.52195","Microsoft Corporation"
"Microsoft.NET.Workload.Mono.Toolchain.Manifest","48.3.40665",
"Microsoft.NET.Workload.Mono.Toolchain.net10.Manifest-11.0.100-preview.1 (x64)","89.144.48582","Microsoft Corporation"
"Microsoft.NET.Workload.Mono.Toolchain.net10.Manifest-11.0.100-preview.4 (x64)","89.144.52195","Microsoft Corporation"
"Microsoft.NET.Workload.Mono.Toolchain.net6.Manifest (x64)","72.0.52183","Microsoft Corporation"
"Microsoft.NET.Workload.Mono.Toolchain.net6.Manifest (x64)","56.80.15184",
"Microsoft.NET.Workload.Mono.Toolchain.net6.Manifest (x64)","72.0.45417","Microsoft Corporation"
"Microsoft.NET.Workload.Mono.Toolchain.net6.Manifest (x64)","64.96.47242","Microsoft Corporation"
"Microsoft.NET.Workload.Mono.Toolchain.net6.Manifest (x64)","72.0.50518","Microsoft Corporation"
"Microsoft.NET.Workload.Mono.Toolchain.net6.Manifest (x64)","72.0.48826","Microsoft Corporation"
"Microsoft.NET.Workload.Mono.Toolchain.net6.Manifest (x64)","72.0.47121","Microsoft Corporation"
"Microsoft.NET.Workload.Mono.Toolchain.net6.Manifest (x64)","64.108.52182","Microsoft Corporation"
"Microsoft.NET.Workload.Mono.Toolchain.net6.Manifest (x64)","64.100.48707","Microsoft Corporation"
"Microsoft.NET.Workload.Mono.Toolchain.net6.Manifest (x64)","64.92.45415","Microsoft Corporation"
"Microsoft.NET.Workload.Mono.Toolchain.net6.Manifest (x64)","64.104.50421","Microsoft Corporation"
"Microsoft.NET.Workload.Mono.Toolchain.net6.Manifest-10.0.100 (x64)","81.160.48830","Microsoft Corporation"
"Microsoft.NET.Workload.Mono.Toolchain.net6.Manifest-10.0.100 (x64)","81.176.52183","Microsoft Corporation"
"Microsoft.NET.Workload.Mono.Toolchain.net6.Manifest-10.0.100 (x64)","81.156.47319","Microsoft Corporation"
"Microsoft.NET.Workload.Mono.Toolchain.net6.Manifest-11.0.100-preview.1 (x64)","89.144.48582","Microsoft Corporation"
"Microsoft.NET.Workload.Mono.Toolchain.net6.Manifest-11.0.100-preview.4 (x64)","89.144.52195","Microsoft Corporation"
"Microsoft.NET.Workload.Mono.Toolchain.net7.Manifest (x64)","56.80.15184",
"Microsoft.NET.Workload.Mono.Toolchain.net7.Manifest (x64)","64.108.52182","Microsoft Corporation"
"Microsoft.NET.Workload.Mono.Toolchain.net7.Manifest (x64)","64.100.48707","Microsoft Corporation"
"Microsoft.NET.Workload.Mono.Toolchain.net7.Manifest (x64)","64.96.47242","Microsoft Corporation"
"Microsoft.NET.Workload.Mono.Toolchain.net7.Manifest (x64)","64.104.50421","Microsoft Corporation"
"Microsoft.NET.Workload.Mono.Toolchain.net7.Manifest (x64)","72.0.50518","Microsoft Corporation"
"Microsoft.NET.Workload.Mono.Toolchain.net7.Manifest (x64)","64.92.45415","Microsoft Corporation"
"Microsoft.NET.Workload.Mono.Toolchain.net7.Manifest (x64)","72.0.48826","Microsoft Corporation"
"Microsoft.NET.Workload.Mono.Toolchain.net7.Manifest (x64)","72.0.45417","Microsoft Corporation"
"Microsoft.NET.Workload.Mono.Toolchain.net7.Manifest (x64)","72.0.52183","Microsoft Corporation"
"Microsoft.NET.Workload.Mono.Toolchain.net7.Manifest (x64)","72.0.47121","Microsoft Corporation"
"Microsoft.NET.Workload.Mono.Toolchain.net7.Manifest-10.0.100 (x64)","81.160.48830","Microsoft Corporation"
"Microsoft.NET.Workload.Mono.Toolchain.net7.Manifest-10.0.100 (x64)","81.156.47319","Microsoft Corporation"
"Microsoft.NET.Workload.Mono.Toolchain.net7.Manifest-10.0.100 (x64)","81.176.52183","Microsoft Corporation"
"Microsoft.NET.Workload.Mono.Toolchain.net7.Manifest-11.0.100-preview.1 (x64)","89.144.48582","Microsoft Corporation"
"Microsoft.NET.Workload.Mono.Toolchain.net7.Manifest-11.0.100-preview.4 (x64)","89.144.52195","Microsoft Corporation"
"Microsoft.NET.Workload.Mono.Toolchain.net8.Manifest (x64)","72.0.52183","Microsoft Corporation"
"Microsoft.NET.Workload.Mono.Toolchain.net8.Manifest (x64)","72.0.50518","Microsoft Corporation"
"Microsoft.NET.Workload.Mono.Toolchain.net8.Manifest (x64)","72.0.47121","Microsoft Corporation"
"Microsoft.NET.Workload.Mono.Toolchain.net8.Manifest (x64)","72.0.45417","Microsoft Corporation"
"Microsoft.NET.Workload.Mono.Toolchain.net8.Manifest (x64)","72.0.48826","Microsoft Corporation"
"Microsoft.NET.Workload.Mono.Toolchain.net8.Manifest-10.0.100 (x64)","81.160.48830","Microsoft Corporation"
"Microsoft.NET.Workload.Mono.Toolchain.net8.Manifest-10.0.100 (x64)","81.156.47319","Microsoft Corporation"
"Microsoft.NET.Workload.Mono.Toolchain.net8.Manifest-10.0.100 (x64)","81.176.52183","Microsoft Corporation"
"Microsoft.NET.Workload.Mono.Toolchain.net8.Manifest-11.0.100-preview.1 (x64)","89.144.48582","Microsoft Corporation"
"Microsoft.NET.Workload.Mono.Toolchain.net8.Manifest-11.0.100-preview.4 (x64)","89.144.52195","Microsoft Corporation"
"Microsoft.NET.Workload.Mono.Toolchain.net9.Manifest-10.0.100 (x64)","81.176.52183","Microsoft Corporation"
"Microsoft.NET.Workload.Mono.Toolchain.net9.Manifest-10.0.100 (x64)","81.160.48830","Microsoft Corporation"
"Microsoft.NET.Workload.Mono.Toolchain.net9.Manifest-10.0.100 (x64)","81.156.47319","Microsoft Corporation"
"Microsoft.NET.Workload.Mono.Toolchain.net9.Manifest-11.0.100-preview.1 (x64)","89.144.48582","Microsoft Corporation"
"Microsoft.NET.Workload.Mono.Toolchain.net9.Manifest-11.0.100-preview.4 (x64)","89.144.52195","Microsoft Corporation"
"MSI Development Tools","10.1.26100.7705","Microsoft Corporation"
"murmure","1.8.1","al1x-ai"
"Node.js","24.13.0","Node.js Foundation"
"NVIDIA PhysX (Legacy)","9.13.0604","NVIDIA Corporation"
"Paragon Hard Disk Manager? 17 Business","17.20.14.6174",
"Patriot Viper M2 SSD RGB","1.1.0.3",
"PowerShell 7-x64","7.6.1.0","Microsoft Corporation"
"Promontory_GPIO Driver","3.0.5.0","Advanced Micro Devices, Inc."
"Python 3.11.9 Add to Path (64-bit)","3.11.9150.0",
"Python 3.11.9 Core Interpreter (64-bit)","3.11.9150.0",
"Python 3.11.9 Development Libraries (64-bit)","3.11.9150.0",
"Python 3.11.9 Documentation (64-bit)","3.11.9150.0",
"Python 3.11.9 Executables (64-bit)","3.11.9150.0",
"Python 3.11.9 pip Bootstrap (64-bit)","3.11.9150.0",
"Python 3.11.9 Standard Library (64-bit)","3.11.9150.0",
"Python 3.11.9 Tcl/Tk Support (64-bit)","3.11.9150.0",
"Python 3.11.9 Test Suite (64-bit)","3.11.9150.0",
"Python 3.11.9 Utility Scripts (64-bit)","3.11.9150.0",
"Python 3.12.10 Add to Path (64-bit)","3.12.10150.0",
"Python 3.12.10 Core Interpreter (64-bit)","3.12.10150.0",
"Python 3.12.10 Development Libraries (64-bit)","3.12.10150.0",
"Python 3.12.10 Documentation (64-bit)","3.12.10150.0",
"Python 3.12.10 Executables (64-bit)","3.12.10150.0",
"Python 3.12.10 pip Bootstrap (64-bit)","3.12.10150.0",
"Python 3.12.10 Standard Library (64-bit)","3.12.10150.0",
"Python 3.12.10 Tcl/Tk Support (64-bit)","3.12.10150.0",
"Python 3.12.10 Test Suite (64-bit)","3.12.10150.0",
"Python Launcher","3.13.5150.0",
"Python Launcher","3.11.8150.0",
"RyzenMasterSDK","1.2.3.5","Advanced Micro Devices, Inc."
"SDK ARM64 Additions","10.1.26100.7705","Microsoft Corporation"
"SDK ARM64 Redistributables","10.1.26100.7705","Microsoft Corporation"
"Smart Backup (x64)","3.24.0829.1","Gigabyte"
"Tactical Monitor AI","1.0.0",
"Universal CRT Extension SDK","10.1.26100.7705","Microsoft Corporation"
"Universal CRT Headers Libraries and Sources","10.1.26100.7705","Microsoft Corporation"
"Universal CRT Redistributable","10.0.26624","Microsoft Corporation"
"Universal CRT Redistributable","10.1.26100.7705","Microsoft Corporation"
"Universal CRT Tools x64","10.1.26100.7705","Microsoft Corporation"
"Universal CRT Tools x86","10.1.26100.7705","Microsoft Corporation"
"Universal General MIDI DLS Extension SDK","10.1.26100.7705","Microsoft Corporation"
"vcpp_crt.redist.clickonce","14.44.35211","Microsoft Corporation"
"Verbatim_SureFireGaming_Product","1.0.3.11",
"VS Script Debugging Common","17.0.157.0","Microsoft Corporation"
"vs_communitymsires","17.14.36015","Microsoft Corporation"
"vs_communitysharedmsi","17.14.36025","Microsoft Corporation"
"vs_communityx64msi","17.14.36025","Microsoft Corporation"
"vs_CoreEditorFonts","17.7.40001","Microsoft Corporation"
"vs_filehandler_amd64","17.14.36024","Microsoft Corporation"
"vs_filehandler_x86","17.14.36024","Microsoft Corporation"
"vs_FileTracker_Singleton","17.14.36015","Microsoft Corporation"
"vs_githubprotocolhandlermsi","17.14.36015","Microsoft Corporation"
"vs_minshellinteropmsi","17.14.36015","Microsoft Corporation"
"vs_minshellinteropsharedmsi","17.14.36015","Microsoft Corporation"
"vs_minshellmsi","17.14.36301","Microsoft Corporation"
"vs_minshellmsires","17.14.36015","Microsoft Corporation"
"vs_minshellsharedmsi","17.14.36024","Microsoft Corporation"
"vs_vswebprotocolselectormsi","17.14.36323","Microsoft Corporation"
"WD P40 Game Drive","1.0.2.18",
"WinAppDeploy","10.1.26100.7705","Microsoft Corporation"
"Windows App Certification Kit Native Components","10.1.26100.7705","Microsoft Corporation"
"Windows App Certification Kit SupportedApiList x86","10.1.26100.7705","Microsoft Corporation"
"Windows App Certification Kit x64","10.1.26100.7705","Microsoft Corporation"
"Windows App Certification Kit x64 (OnecoreUAP)","10.1.26100.7705","Microsoft Corporation"
"Windows Desktop Extension SDK","10.1.26100.7705","Microsoft Corporation"
"Windows Desktop Extension SDK Contracts","10.1.26100.7705","Microsoft Corporation"
"Windows IoT Extension SDK","10.1.26100.7705","Microsoft Corporation"
"Windows IoT Extension SDK Contracts","10.1.26100.7705","Microsoft Corporation"
"Windows Mobile Extension SDK","10.1.26100.7705","Microsoft Corporation"
"Windows Mobile Extension SDK Contracts","10.1.26100.7705","Microsoft Corporation"
"Windows PE Boot Files (DesktopEditions)","10.1.26100.2454","Microsoft"
"Windows PE Boot Files (OnecoreUAP)","10.1.26100.2454","Microsoft"
"Windows PE Optional Packages (DesktopEditions)","10.1.26100.2454","Microsoft"
"Windows PE Scripts","10.1.26100.2454","Microsoft"
"Windows PE wims (DesktopEditions)","10.1.26100.2454","Microsoft"
"Windows SDK","10.1.26100.7705","Microsoft Corporation"
"Windows SDK AddOn","10.1.0.0","Microsoft Corporation"
"Windows SDK ARM64 Desktop Tools","10.1.26100.7705","Microsoft Corporation"
"Windows SDK Desktop Headers arm64","10.1.26100.7705","Microsoft Corporation"
"Windows SDK Desktop Headers x64","10.1.26100.7705","Microsoft Corporation"
"Windows SDK Desktop Headers x86","10.1.26100.7705","Microsoft Corporation"
"Windows SDK Desktop Libs arm64","10.1.26100.7705","Microsoft Corporation"
"Windows SDK Desktop Libs x64","10.1.26100.7705","Microsoft Corporation"
"Windows SDK Desktop Libs x86","10.1.26100.7705","Microsoft Corporation"
"Windows SDK Desktop Tools arm64","10.1.26100.7705","Microsoft Corporation"
"Windows SDK Desktop Tools x64","10.1.26100.7705","Microsoft Corporation"
"Windows SDK Desktop Tools x86","10.1.26100.7705","Microsoft Corporation"
"Windows SDK DirectX x64 Remote","10.1.26100.7705","Microsoft Corporation"
"Windows SDK DirectX x86 Remote","10.1.26100.7705","Microsoft Corporation"
"Windows SDK EULA","10.1.26100.7705","Microsoft Corporations"
"Windows SDK Facade Windows WinMD Versioned","10.1.26100.7705","Microsoft Corporation"
"Windows SDK for Windows Store Apps","10.1.26100.7705","Microsoft Corporation"
"Windows SDK for Windows Store Apps Contracts","10.1.26100.7705","Microsoft Corporation"
"Windows SDK for Windows Store Apps DirectX x86 Remote","10.1.26100.7705","Microsoft Corporation"
"Windows SDK for Windows Store Apps Headers","10.1.26100.7705","Microsoft Corporation"
"Windows SDK for Windows Store Apps Headers OnecoreUap","10.1.26100.7705","Microsoft Corporation"
"Windows SDK for Windows Store Apps Libs","10.1.26100.7705","Microsoft Corporation"
"Windows SDK for Windows Store Apps Metadata","10.1.26100.7705","Microsoft Corporation"
"Windows SDK for Windows Store Apps Tools","10.1.26100.7705","Microsoft Corporation"
"Windows SDK for Windows Store Managed Apps Libs","10.1.26100.7705","Microsoft Corporation"
"Windows SDK Modern Non-Versioned Developer Tools","10.1.26100.7705","Microsoft Corporation"
"Windows SDK Modern Versioned Developer Tools","10.1.26100.7705","Microsoft Corporation"
"Windows SDK OnecoreUap Headers arm64","10.1.26100.7705","Microsoft Corporation"
"Windows SDK OnecoreUap Headers x64","10.1.26100.7705","Microsoft Corporation"
"Windows SDK OnecoreUap Headers x86","10.1.26100.7705","Microsoft Corporation"
"Windows SDK Redistributables","10.1.26100.7705","Microsoft Corporation"
"Windows SDK Signing Tools","10.1.26100.7705","Microsoft Corporation"
"Windows Subsystem for Linux","2.7.3.0","Microsoft Corporation"
