"DisplayName","DisplayVersion","Publisher","InstallLocation","UninstallString"
"Microsoft .NET Core AppHost Pack - 3.1.32 (x64_arm)","24.192.31915","Microsoft Corporation","","MsiExec.exe /X{270D2A13-4AA7-44FD-B9B3-EA09DD8F32E7}"
"Microsoft .NET Core AppHost Pack - 3.1.32 (x64_arm64)","24.192.31915","Microsoft Corporation","","MsiExec.exe /X{F11CFE11-BE79-4A34-8649-404C8184A4D4}"
"Microsoft .NET Core AppHost Pack - 3.1.32 (x64_x86)","24.192.31915","Microsoft Corporation","","MsiExec.exe /X{A4FF0652-BEA3-4E62-91A1-410194316D1F}"
"Microsoft .NET Core Host - 2.1.30 (x64)","16.120.30411","Microsoft Corporation","","MsiExec.exe /X{8FD66631-B964-4E12-92E1-A8A4CAD5D14C}"
"Microsoft .NET Core Host - 2.2.7 (x64)","16.156.28009","Microsoft Corporation","","MsiExec.exe /X{AFF45FEB-2E0D-4840-B576-0B3B5F88F50F}"
"Microsoft .NET Core Host - 2.2.8 (x64)","16.160.28209","Microsoft Corporation","","MsiExec.exe /X{AB60D060-F965-473B-A034-6E636CDF86C1}"
"Microsoft .NET Core Host - 3.0.3 (x64)","24.12.28517","Microsoft Corporation","","MsiExec.exe /X{779FC28F-7031-4C20-836D-1434A634D6A6}"
"Microsoft .NET Core Host - 3.1.32 (x64)","24.192.31915","Microsoft Corporation","","MsiExec.exe /X{8A8E3A04-83BC-4CDE-9259-893B666C1AB1}"
"Microsoft .NET Core Host FX Resolver - 2.1.30 (x64)","16.120.30411","Microsoft Corporation","","MsiExec.exe /X{EB291DFA-DEDE-4355-98D9-17F95E91C437}"
"Microsoft .NET Core Host FX Resolver - 2.2.7 (x64)","16.156.28009","Microsoft Corporation","","MsiExec.exe /X{2CA98CD5-AC3C-4A04-8575-7979D06391D6}"
"Microsoft .NET Core Host FX Resolver - 2.2.8 (x64)","16.160.28209","Microsoft Corporation","","MsiExec.exe /X{FB93E034-B91D-4619-B349-9992F7F279F2}"
"Microsoft .NET Core Host FX Resolver - 3.0.3 (x64)","24.12.28517","Microsoft Corporation","","MsiExec.exe /X{550A1E3A-6058-4945-8D01-4AE8B952859E}"
"Microsoft .NET Core Host FX Resolver - 3.1.32 (x64)","24.192.31915","Microsoft Corporation","","MsiExec.exe /X{ABC6B3C2-1A8D-4C5E-AC16-C2AE44F02743}"
"Microsoft .NET Core Runtime - 2.1.30 (x64)","2.1.30.30411","Microsoft Corporation",,
"Microsoft .NET Core Runtime - 2.1.30 (x64)","16.120.30411","Microsoft Corporation","","MsiExec.exe /X{92A0517D-D5F9-4D8F-87F9-83ABC04240C2}"
"Microsoft .NET Core Runtime - 2.2.7 (x64)","16.156.28009","Microsoft Corporation","","MsiExec.exe /X{4D08C41B-EBE1-4DCE-B190-9D2B8B253486}"
"Microsoft .NET Core Runtime - 2.2.8 (x64)","16.160.28209","Microsoft Corporation","","MsiExec.exe /X{8A352243-B26C-4A83-9E2C-2575541C7430}"
"Microsoft .NET Core Runtime - 3.0.3 (x64)","24.12.28517","Microsoft Corporation","","MsiExec.exe /X{FD1BEF80-6925-461B-B914-AC613E937958}"
"Microsoft .NET Core Runtime - 3.1.32 (x64)","3.1.32.31915","Microsoft Corporation",,
"Microsoft .NET Core Runtime - 3.1.32 (x64)","24.192.31915","Microsoft Corporation","","MsiExec.exe /X{A741B803-3F0E-4684-81EF-FC128D15A92C}"
"Microsoft .NET Core SDK 2.2.207 (x64)","8.51.59374","Microsoft Corporation","","MsiExec.exe /I{0DC65CE7-6CB8-4285-955B-C4312C33458A}"
"Microsoft .NET Core SDK 2.2.207 (x64)","2.2.207","Microsoft Corporation",,
"Microsoft .NET Core SDK 2.2.402 (x64)","2.2.402","Microsoft Corporation",,
"Microsoft .NET Core SDK 2.2.402 (x64)","8.100.43055","Microsoft Corporation","","MsiExec.exe /I{029066C6-8CA8-4612-97D9-E9BDDF5A310D}"
"Microsoft .NET Core SDK 3.0.103 (x64)","3.0.103.14459","Microsoft Corporation",,
"Microsoft .NET Core SDK 3.0.103 (x64)","12.0.63611","Microsoft Corporation","","MsiExec.exe /X{AB4641D1-CAD4-4A26-88FD-BE561C98FC1D}"
"Microsoft .NET Core SDK 3.1.426 (x64)","3.1.426.16244","Microsoft Corporation",,
"Microsoft .NET Core SDK Uninstall Tool (x86)","4.112.868","Microsoft Corporation","","MsiExec.exe /X{3B07F69E-0A7D-4919-B592-F353BC186E77}"
"Microsoft .NET Core Targeting Pack - 3.0.0 (x64)","24.0.28113","Microsoft Corporation","","MsiExec.exe /X{99107782-C38E-442A-B764-337C5A75E4E6}"
"Microsoft .NET Core Targeting Pack - 3.1.0 (x64)","24.64.28315","Microsoft Corporation","","MsiExec.exe /X{31EDE1E7-C855-4633-9D73-56F566136567}"
"Microsoft .NET Core Toolset 3.1.426 (x64)","12.22.49012","Microsoft Corporation","","MsiExec.exe /X{685DF87E-9750-432A-84F3-51F88AFC817D}"
"Microsoft .NET Host - 10.0.8 (x64)","80.32.52183","Microsoft Corporation","","MsiExec.exe /X{B57D6467-F8D0-45AD-AE54-0CF1B28B9982}"
"Microsoft .NET Host - 11.0.0 Preview 4 (x64)","88.0.52195","Microsoft Corporation","","MsiExec.exe /X{C3D7DFDD-1199-49DE-A0A5-2E677708B99B}"
"Microsoft .NET Host - 5.0.17 (x64)","40.68.31213","Microsoft Corporation","","MsiExec.exe /X{E663ED1E-899C-40E8-91D0-8D37B95E3C69}"
"Microsoft .NET Host - 6.0.36 (x64)","48.144.23141","Microsoft Corporation","","MsiExec.exe /X{D6932D97-36F1-40B8-9CDC-CA8365B21000}"
"Microsoft .NET Host - 6.0.36 (x86)","48.144.23141","Microsoft Corporation","","MsiExec.exe /X{FBC9D6AE-6396-4FC7-BC18-00852836F16D}"
"Microsoft .NET Host - 7.0.20 (x64)","56.80.15184","Microsoft Corporation","","MsiExec.exe /X{EE5EB03B-D65C-4991-848E-2C6E024326DB}"
"Microsoft .NET Host - 7.0.20 (x86)","56.80.15184","Microsoft Corporation","","MsiExec.exe /X{5B42B80B-A402-4711-B7E4-2E42B953ACAB}"
"Microsoft .NET Host - 8.0.25 (x86)","64.100.48707","Microsoft Corporation","","MsiExec.exe /X{0FDD50D2-5A8F-47AE-B0D4-9597DA9E4BC1}"
"Microsoft .NET Host - 8.0.27 (x64)","64.108.52182","Microsoft Corporation","","MsiExec.exe /X{FE436680-E3E9-4BDB-A1C9-AA9DCD76752F}"
"Microsoft .NET Host - 9.0.16 (x64)","72.64.52183","Microsoft Corporation","","MsiExec.exe /X{9452FD92-08CC-4935-BFE0-62075C1E4851}"
"Microsoft .NET Host FX Resolver - 10.0.3 (x64)","80.12.47319","Microsoft Corporation","","MsiExec.exe /X{94B19E28-2A79-4102-A16F-1B8F59273364}"
"Microsoft .NET Host FX Resolver - 10.0.4 (x64)","80.16.48830","Microsoft Corporation","","MsiExec.exe /X{C8B7D45C-2222-466B-8276-A8E0BA732CE4}"
"Microsoft .NET Host FX Resolver - 10.0.5 (x64)","80.20.50175","Microsoft Corporation","","MsiExec.exe /X{0D6EA48D-05AF-447D-ABC4-DE49E39A6637}"
"Microsoft .NET Host FX Resolver - 10.0.8 (x64)","80.32.52183","Microsoft Corporation","","MsiExec.exe /X{D5E1F20D-D271-483B-8963-1360DE7F28FF}"
"Microsoft .NET Host FX Resolver - 11.0.0 Preview 1 (x64)","88.0.48582","Microsoft Corporation","","MsiExec.exe /X{22459727-DB25-4339-802E-019D3AD88777}"
"Microsoft .NET Host FX Resolver - 11.0.0 Preview 2 (x64)","88.0.50256","Microsoft Corporation","","MsiExec.exe /X{45F54758-F7D9-4CF3-BFB4-1ACF4844CFDF}"
"Microsoft .NET Host FX Resolver - 11.0.0 Preview 4 (x64)","88.0.52195","Microsoft Corporation","","MsiExec.exe /X{42B3E1D0-1C2A-49AF-9D44-930863DC129E}"
"Microsoft .NET Host FX Resolver - 5.0.17 (x64)","40.68.31213","Microsoft Corporation","","MsiExec.exe /X{8BA25391-0BE6-443A-8EBF-86A29BAFC479}"
"Microsoft .NET Host FX Resolver - 6.0.36 (x64)","48.144.23141","Microsoft Corporation","","MsiExec.exe /X{A9E32B25-994B-4856-A12B-0EBED3050410}"
"Microsoft .NET Host FX Resolver - 6.0.36 (x86)","48.144.23141","Microsoft Corporation","","MsiExec.exe /X{6F73FE7B-B9C3-4A05-8138-0E44543D755F}"
"Microsoft .NET Host FX Resolver - 7.0.20 (x64)","56.80.15184","Microsoft Corporation","","MsiExec.exe /X{B0FC828F-678C-4868-9B5B-99639758E6F3}"
"Microsoft .NET Host FX Resolver - 7.0.20 (x86)","56.80.15184","Microsoft Corporation","","MsiExec.exe /X{9D0BB263-30C0-477F-A78D-D5E25FFAC64A}"
"Microsoft .NET Host FX Resolver - 8.0.19 (x64)","64.76.37566","Microsoft Corporation","","MsiExec.exe /X{69A17DA9-300A-49B9-97F1-1EB7424570DE}"
"Microsoft .NET Host FX Resolver - 8.0.23 (x64)","64.92.45415","Microsoft Corporation","","MsiExec.exe /X{A42EAA28-C0A1-4712-A109-796202435469}"
"Microsoft .NET Host FX Resolver - 8.0.24 (x64)","64.96.47242","Microsoft Corporation","","MsiExec.exe /X{66D8D2C3-B7A9-4F32-8FE4-42FE64B8422D}"
"Microsoft .NET Host FX Resolver - 8.0.25 (x64)","64.100.48707","Microsoft Corporation","","MsiExec.exe /X{D0E1D031-D6BB-43A5-BD42-175C0C4EE245}"
"Microsoft .NET Host FX Resolver - 8.0.25 (x86)","64.100.48707","Microsoft Corporation","","MsiExec.exe /X{D2D27CA3-24C5-4933-8FA5-6C584CBD87EF}"
"Microsoft .NET Host FX Resolver - 8.0.26 (x64)","64.104.50421","Microsoft Corporation","","MsiExec.exe /X{C971FC9E-5291-4C07-8E2F-96BDCBF217E2}"
"Microsoft .NET Host FX Resolver - 8.0.27 (x64)","64.108.52182","Microsoft Corporation","","MsiExec.exe /X{6B3BE514-B565-442C-9BA8-28E5B162E038}"
"Microsoft .NET Host FX Resolver - 9.0.12 (x64)","72.48.45417","Microsoft Corporation","","MsiExec.exe /X{C70906D7-4A73-42A3-A985-3BEFC2788D07}"
"Microsoft .NET Host FX Resolver - 9.0.13 (x64)","72.52.47121","Microsoft Corporation","","MsiExec.exe /X{45D7F314-4193-43EA-A004-52C2F45953EB}"
"Microsoft .NET Host FX Resolver - 9.0.14 (x64)","72.56.48826","Microsoft Corporation","","MsiExec.exe /X{A5622318-9DBD-4A19-808D-CDA0929CA1DF}"
"Microsoft .NET Host FX Resolver - 9.0.15 (x64)","72.60.50518","Microsoft Corporation","","MsiExec.exe /X{04C98367-FC14-4376-8866-17AD112FB6B9}"
"Microsoft .NET Host FX Resolver - 9.0.16 (x64)","72.64.52183","Microsoft Corporation","","MsiExec.exe /X{33CBD71A-9813-4440-92B8-B06C04852B34}"
"Microsoft .NET Runtime - 10.0.3 (x64)","10.0.3.35725","Microsoft Corporation",,
"Microsoft .NET Runtime - 10.0.3 (x64)","80.12.47319","Microsoft Corporation","","MsiExec.exe /X{3BAF1A9E-A7D2-4A66-A4B8-39B451E17F99}"
"Microsoft .NET Runtime - 10.0.4 (x64)","80.16.48830","Microsoft Corporation","","MsiExec.exe /X{BD50567F-182E-421B-89CB-19E54F53A0E1}"
"Microsoft .NET Runtime - 10.0.4 (x64)","10.0.4.35819","Microsoft Corporation",,
"Microsoft .NET Runtime - 10.0.5 (x64)","10.0.5.35903","Microsoft Corporation",,
"Microsoft .NET Runtime - 10.0.5 (x64)","80.20.50175","Microsoft Corporation","","MsiExec.exe /X{980F731B-61F3-42BE-956B-F4CB5DA68E04}"
"Microsoft .NET Runtime - 10.0.8 (x64)","10.0.8.36029","Microsoft Corporation",,"""C:\ProgramData\Package Cache\{4443C461-ED45-4D3E-A6BB-3794C1B9FC6C}\dotnet-runtime-10.0.8-win-x64.exe""  /uninstall"
"Microsoft .NET Runtime - 10.0.8 (x64)","80.32.52183","Microsoft Corporation","","MsiExec.exe /X{455C1E9B-235E-4724-B36E-2C33FDA8BD1F}"
"Microsoft .NET Runtime - 11.0.0 Preview 1 (x64)","88.0.48582","Microsoft Corporation","","MsiExec.exe /X{472B8457-CE97-4795-8E1A-7CA338785EC7}"
"Microsoft .NET Runtime - 11.0.0 Preview 1 (x64)","11.0.0.35804","Microsoft Corporation",,
"Microsoft .NET Runtime - 11.0.0 Preview 2 (x64)","11.0.0.35909","Microsoft Corporation",,
"Microsoft .NET Runtime - 11.0.0 Preview 2 (x64)","88.0.50256","Microsoft Corporation","","MsiExec.exe /X{3157849A-A9C3-489F-B9DA-E8A9AA2BA224}"
"Microsoft .NET Runtime - 11.0.0 Preview 4 (x64)","88.0.52195","Microsoft Corporation","","MsiExec.exe /X{69966BFC-73FB-4A90-BD37-8D0239009FCF}"
"Microsoft .NET Runtime - 11.0.0 Preview 4 (x64)","11.0.0.36030","Microsoft Corporation",,"""C:\ProgramData\Package Cache\{93F11EC5-46C0-4DA2-9778-19B533ED71DC}\dotnet-runtime-11.0.0-preview.4.26230.115-win-x64.exe""  /uninstall"
"Microsoft .NET Runtime - 5.0.17 (x64)","40.68.31213","Microsoft Corporation","","MsiExec.exe /X{5A66E598-37BD-4C8A-A7CB-A71C32ABCD78}"
"Microsoft .NET Runtime - 5.0.17 (x64)","5.0.17.31213","Microsoft Corporation",,
"Microsoft .NET Runtime - 6.0.36 (x64)","6.0.36.34214","Microsoft Corporation",,
"Microsoft .NET Runtime - 6.0.36 (x64)","48.144.23141","Microsoft Corporation","","MsiExec.exe /X{C912E33F-956A-4921-9F55-CC11AE8F09AF}"
"Microsoft .NET Runtime - 6.0.36 (x86)","48.144.23141","Microsoft Corporation","","MsiExec.exe /X{89C09E22-01D0-41F6-BAD3-CA0A8B74AD22}"
"Microsoft .NET Runtime - 7.0.20 (x64)","7.0.20.33717","Microsoft Corporation",,
"Microsoft .NET Runtime - 7.0.20 (x64)","56.80.15184","Microsoft Corporation","","MsiExec.exe /X{221BB52A-B763-4C9D-AA62-4B0B6C9AAD62}"
"Microsoft .NET Runtime - 7.0.20 (x86)","56.80.15184","Microsoft Corporation","","MsiExec.exe /X{4DAE978C-6175-400D-A508-2403109B89E9}"
"Microsoft .NET Runtime - 8.0.19 (x64)","64.76.37566","Microsoft Corporation","","MsiExec.exe /X{B9F7A454-0CCD-410C-A3E0-D1AAC300F150}"
"Microsoft .NET Runtime - 8.0.23 (x64)","64.92.45415","Microsoft Corporation","","MsiExec.exe /X{39884818-B550-4209-9A49-81F9D21F6012}"
"Microsoft .NET Runtime - 8.0.24 (x64)","64.96.47242","Microsoft Corporation","","MsiExec.exe /X{774E3EF4-74C6-460B-BEED-FC1D0E3014D7}"
"Microsoft .NET Runtime - 8.0.24 (x64)","8.0.24.35720","Microsoft Corporation",,
"Microsoft .NET Runtime - 8.0.25 (x64)","64.100.48707","Microsoft Corporation","","MsiExec.exe /X{99B0C384-9362-4D4E-8DAF-23CA44E306E8}"
"Microsoft .NET Runtime - 8.0.25 (x64)","8.0.25.35812","Microsoft Corporation",,
"Microsoft .NET Runtime - 8.0.25 (x86)","64.100.48707","Microsoft Corporation","","MsiExec.exe /X{EDBD217F-7014-458D-8A6A-B9D5782623D3}"
"Microsoft .NET Runtime - 8.0.26 (x64)","64.104.50421","Microsoft Corporation","","MsiExec.exe /X{D303EB7E-BAFD-4A65-A520-AA388FA0BF9A}"
"Microsoft .NET Runtime - 8.0.26 (x64)","8.0.26.35919","Microsoft Corporation",,"""C:\ProgramData\Package Cache\{04edc417-049e-4837-b1fa-bcc1573103dd}\dotnet-runtime-8.0.26-win-x64.exe""  /uninstall"
"Microsoft .NET Runtime - 8.0.27 (x64)","8.0.27.36029","Microsoft Corporation",,"""C:\ProgramData\Package Cache\{785c0558-c01e-44e3-8799-90ea5ea70ae6}\dotnet-runtime-8.0.27-win-x64.exe""  /uninstall"
"Microsoft .NET Runtime - 8.0.27 (x64)","64.108.52182","Microsoft Corporation","","MsiExec.exe /X{F46044EA-04A3-4472-9368-2915A0C34868}"
"Microsoft .NET Runtime - 9.0.12 (x64)","72.48.45417","Microsoft Corporation","","MsiExec.exe /X{7498D287-D936-4786-AA56-67E81A7E7348}"
"Microsoft .NET Runtime - 9.0.13 (x64)","9.0.13.35713","Microsoft Corporation",,
"Microsoft .NET Runtime - 9.0.13 (x64)","72.52.47121","Microsoft Corporation","","MsiExec.exe /X{F4381ABE-B1E5-45F9-AEA5-4BF1235163C3}"
"Microsoft .NET Runtime - 9.0.14 (x64)","9.0.14.35819","Microsoft Corporation",,
"Microsoft .NET Runtime - 9.0.14 (x64)","72.56.48826","Microsoft Corporation","","MsiExec.exe /X{7D8CA9A1-03AD-4726-8FAD-91DE906279DE}"
"Microsoft .NET Runtime - 9.0.15 (x64)","9.0.15.35925","Microsoft Corporation",,"""C:\ProgramData\Package Cache\{463ef92c-40a6-4592-855e-fbd2aa00673b}\dotnet-runtime-9.0.15-win-x64.exe""  /uninstall"
"Microsoft .NET Runtime - 9.0.15 (x64)","72.60.50518","Microsoft Corporation","","MsiExec.exe /X{97184660-56D3-4CCB-8919-34067AB40CD6}"
"Microsoft .NET Runtime - 9.0.16 (x64)","72.64.52183","Microsoft Corporation","","MsiExec.exe /X{AB89A259-8D10-4578-B462-43AEDC4F166E}"
"Microsoft .NET Runtime - 9.0.16 (x64)","9.0.16.36029","Microsoft Corporation",,"""C:\ProgramData\Package Cache\{9679c201-e03a-4bfc-a129-d802f9c85555}\dotnet-runtime-9.0.16-win-x64.exe""  /uninstall"
"Microsoft .NET SDK 10.0.103 (x64)","10.1.326.7603","Microsoft Corporation",,
"Microsoft .NET SDK 10.0.104 (x64)","10.1.426.12010","Microsoft Corporation",,
"Microsoft .NET SDK 10.0.108 (x64)","10.1.826.23019","Microsoft Corporation",,"""C:\ProgramData\Package Cache\{679774E2-A0DF-4B21-8971-2BC282545D7F}\dotnet-sdk-10.0.108-win-x64.exe""  /uninstall"
"Microsoft .NET SDK 10.0.200 (x64)","10.2.26.12022","Microsoft Corporation",,
"Microsoft .NET SDK 10.0.204 (x64)","10.2.426.23114","Microsoft Corporation",,"""C:\ProgramData\Package Cache\{6E4A303A-A7C8-458A-AB30-DD68AF568E0F}\dotnet-sdk-10.0.204-win-x64.exe""  /uninstall"
"Microsoft .NET SDK 10.0.300 (x64)","10.3.26.23102","Microsoft Corporation",,"""C:\ProgramData\Package Cache\{18C18035-11C6-4E27-AFA8-AE754CFF3FF6}\dotnet-sdk-10.0.300-win-x64.exe""  /uninstall"
"Microsoft .NET SDK 11.0.100-preview.1.26104.118 (x64)","11.1.26.10518","Microsoft Corporation",,
"Microsoft .NET SDK 11.0.100-preview.4.26230.115 (x64)","11.1.26.23115","Microsoft Corporation",,"""C:\ProgramData\Package Cache\{3236C6E3-73EE-4079-9B70-47E54E453899}\dotnet-sdk-11.0.100-preview.4.26230.115-win-x64.exe""  /uninstall"
"Microsoft .NET SDK 5.0.408 (x64)","5.4.822.21928","Microsoft Corporation",,
"Microsoft .NET SDK 6.0.428 (x64)","6.4.2824.52403","Microsoft Corporation",,
"Microsoft .NET SDK 7.0.410 (x64)","7.4.1024.27207","Microsoft Corporation",,
"Microsoft .NET SDK 8.0.417 (x64)","8.4.1725.61001","Microsoft Corporation",,
"Microsoft .NET SDK 8.0.418 (x64)","8.4.1826.7203","Microsoft Corporation",,
"Microsoft .NET SDK 8.0.419 (x64)","8.4.1926.11301","Microsoft Corporation",,
"Microsoft .NET SDK 8.0.420 (x64)","8.4.2026.17201","Microsoft Corporation",,"""C:\ProgramData\Package Cache\{8793758a-eb7a-4724-a40d-6e3e2ed0e1b4}\dotnet-sdk-8.0.420-win-x64.exe""  /uninstall"
"Microsoft .NET SDK 8.0.421 (x64)","8.4.2126.23002","Microsoft Corporation",,"""C:\ProgramData\Package Cache\{9dae3c46-0d72-4784-8c4b-7f348a04ee7c}\dotnet-sdk-8.0.421-win-x64.exe""  /uninstall"
"Microsoft .NET SDK 9.0.310 (x64)","9.3.1026.6411","Microsoft Corporation",,
"Microsoft .NET SDK 9.0.311 (x64)","9.3.1126.6814","Microsoft Corporation",,
"Microsoft .NET SDK 9.0.312 (x64)","9.3.1226.12004","Microsoft Corporation",,
"Microsoft .NET SDK 9.0.313 (x64)","9.3.1326.17603","Microsoft Corporation",,"""C:\ProgramData\Package Cache\{99c7fbb9-0065-4e25-86c6-f79fcb356103}\dotnet-sdk-9.0.313-win-x64.exe""  /uninstall"
"Microsoft .NET SDK 9.0.314 (x64)","9.3.1426.23009","Microsoft Corporation",,"""C:\ProgramData\Package Cache\{a426bf44-ac9e-4632-8228-29fd914be05b}\dotnet-sdk-9.0.314-win-x64.exe""  /uninstall"
"Microsoft .NET Standard Targeting Pack - 2.1.0 (x64)","24.0.28113","Microsoft Corporation","","MsiExec.exe /X{A7036CFB-B403-4598-85FF-D397ABB88173}"
"Microsoft .NET Targeting Pack - 10.0.3 (x64)","80.12.47319","Microsoft Corporation","","MsiExec.exe /X{52F4619F-56F4-4850-9756-DFA4A5E19613}"
"Microsoft .NET Targeting Pack - 10.0.4 (x64)","80.16.48830","Microsoft Corporation","","MsiExec.exe /X{C7269B6E-7139-4927-85CC-F75E83D96C06}"
"Microsoft .NET Targeting Pack - 10.0.8 (x64)","80.32.52183","Microsoft Corporation","","MsiExec.exe /X{1B2A83E0-E072-4E64-9EC3-FD8730AB4D3B}"
"Microsoft .NET Targeting Pack - 11.0.0 Preview 1 (x64)","88.0.48582","Microsoft Corporation","","MsiExec.exe /X{35924A69-27C6-46C6-86EC-E2EE57CB5F8D}"
"Microsoft .NET Targeting Pack - 11.0.0 Preview 4 (x64)","88.0.52195","Microsoft Corporation","","MsiExec.exe /X{DFEEAF38-1B36-480C-BDAF-A5C2F0B054BD}"
"Microsoft .NET Targeting Pack - 5.0.0 (x64)","40.0.29513","Microsoft Corporation","","MsiExec.exe /X{F9CD5A8F-B00B-4770-9E4A-A3C818BE840F}"
"Microsoft .NET Targeting Pack - 6.0.36 (x64)","48.144.23141","Microsoft Corporation","","MsiExec.exe /X{93420B22-3CEA-4650-BD21-5341CA4B0AFA}"
"Microsoft .NET Targeting Pack - 7.0.20 (x64)","56.80.15184","Microsoft Corporation","","MsiExec.exe /X{7C8005BF-9A78-4548-9680-1C04500D689D}"
"Microsoft .NET Targeting Pack - 8.0.23 (x64)","64.92.45415","Microsoft Corporation","","MsiExec.exe /X{A9B58446-2E60-4A07-BC76-31F520776B5F}"
"Microsoft .NET Targeting Pack - 8.0.24 (x64)","64.96.47242","Microsoft Corporation","","MsiExec.exe /X{A6EFBA26-31BC-41F2-9666-3DE27B15D8FA}"
"Microsoft .NET Targeting Pack - 8.0.25 (x64)","64.100.48707","Microsoft Corporation","","MsiExec.exe /X{2978E914-6308-4EE3-9027-D27B0222D543}"
"Microsoft .NET Targeting Pack - 8.0.26 (x64)","64.104.50421","Microsoft Corporation","","MsiExec.exe /X{2DA969AF-5FF2-400A-A802-CE61EE8B1EE1}"
"Microsoft .NET Targeting Pack - 8.0.27 (x64)","64.108.52182","Microsoft Corporation","","MsiExec.exe /X{7B66BA68-A423-48CA-A79D-0EE17B1AB6D8}"
"Microsoft .NET Targeting Pack - 9.0.12 (x64)","72.48.45417","Microsoft Corporation","","MsiExec.exe /X{C5D97BE2-96C0-42E9-A044-CEE36BCC2C42}"
"Microsoft .NET Targeting Pack - 9.0.13 (x64)","72.52.47121","Microsoft Corporation","","MsiExec.exe /X{4D1ACCE8-2BCB-4B22-BBCC-46EA8F2D4A09}"
"Microsoft .NET Targeting Pack - 9.0.14 (x64)","72.56.48826","Microsoft Corporation","","MsiExec.exe /X{F51EFB18-E243-4626-966E-11E0847B3877}"
"Microsoft .NET Targeting Pack - 9.0.15 (x64)","72.60.50518","Microsoft Corporation","","MsiExec.exe /X{4A4C3003-8D5C-49EC-84E5-2DBFF2F54883}"
"Microsoft .NET Targeting Pack - 9.0.16 (x64)","72.64.52183","Microsoft Corporation","","MsiExec.exe /X{458A7093-5F71-4EC1-984D-918EA21DE89A}"
"Microsoft .NET Toolset 10.0.103 (x64)","40.10.52243","Microsoft Corporation","","MsiExec.exe /X{1E99E370-503F-4892-BE97-63DB59947AD7}"
"Microsoft .NET Toolset 10.0.104 (x64)","40.11.56650","Microsoft Corporation","","MsiExec.exe /X{A55BB7E0-6100-4ECE-8E75-10FFCB5C1C5C}"
"Microsoft .NET Toolset 10.0.108 (x64)","40.11.2123","Microsoft Corporation","","MsiExec.exe /X{729D2B63-7EF5-4A54-993A-123AD7EBBFF0}"
"Microsoft .NET Toolset 10.0.200 (x64)","40.10.56662","Microsoft Corporation","","MsiExec.exe /X{B8F87A9F-A70C-4E46-80DB-53AA9F22DC0B}"
"Microsoft .NET Toolset 10.0.204 (x64)","40.11.2218","Microsoft Corporation","","MsiExec.exe /X{B3321B00-7662-44BD-A0DF-40BE3BF33781}"
"Microsoft .NET Toolset 10.0.300 (x64)","40.11.2206","Microsoft Corporation","","MsiExec.exe /X{69A35FCB-E1C6-4E4E-B4F3-C9AAEBAA18E8}"
"Microsoft .NET Toolset 11.0.100-preview.1.26104.118 (x64)","44.10.55158","Microsoft Corporation","","MsiExec.exe /X{316A1225-975B-4CFD-B7F5-A0341D4337EC}"
"Microsoft .NET Toolset 11.0.100-preview.4.26230.115 (x64)","44.11.2219","Microsoft Corporation","","MsiExec.exe /X{B3F610CD-AD66-4682-AE3B-EEB21FB96370}"
"Microsoft .NET Toolset 5.0.408 (x64)","20.6.59784","Microsoft Corporation","","MsiExec.exe /X{20631FA6-D978-41DE-98D0-AFCC1ECA4D4D}"
"Microsoft .NET Toolset 6.0.428 (x64)","24.15.28115","Microsoft Corporation","","MsiExec.exe /X{336FE300-4E1A-4A3C-98F1-794977FB08FE}"
"Microsoft .NET Toolset 7.0.410 (x64)","28.10.35687","Microsoft Corporation","","MsiExec.exe /X{3BD81D32-906F-47B9-8653-ED55C039340A}"
"Microsoft .NET Toolset 8.0.417 (x64)","32.14.22025","Microsoft Corporation","","MsiExec.exe /X{15E04C84-2203-4188-99A6-08BD2DE284F9}"
"Microsoft .NET Toolset 8.0.418 (x64)","32.14.51843","Microsoft Corporation","","MsiExec.exe /X{827D5A65-EB71-4479-8D47-3CC1F8617EBA}"
"Microsoft .NET Toolset 8.0.419 (x64)","32.14.55941","Microsoft Corporation","","MsiExec.exe /X{0637BD27-0040-4C3D-ABB4-269CC0811F77}"
"Microsoft .NET Toolset 8.0.420 (x64)","32.15.61841","Microsoft Corporation","","MsiExec.exe /X{DC6C7A35-F202-4A98-BCAA-25229AE62863}"
"Microsoft .NET Toolset 8.0.421 (x64)","32.15.18490","Microsoft Corporation","","MsiExec.exe /X{3F06FEFD-43B1-4CFA-8B8E-4B5AFD4F4E58}"
"Microsoft .NET Toolset 9.0.310 (x64)","36.10.51051","Microsoft Corporation","","MsiExec.exe /X{B896A251-E08E-4BAA-A3AD-FA2B7DC161DB}"
"Microsoft .NET Toolset 9.0.311 (x64)","36.10.51454","Microsoft Corporation","","MsiExec.exe /X{839B13BA-91BA-46B5-A311-4BDD86014400}"
"Microsoft .NET Toolset 9.0.312 (x64)","36.11.56644","Microsoft Corporation","","MsiExec.exe /X{AB20E512-EB28-4AF1-B055-3E6E2AF9C45B}"
"Microsoft .NET Toolset 9.0.313 (x64)","36.11.62243","Microsoft Corporation","","MsiExec.exe /X{C4B16816-E835-49A6-88F8-33C77E584435}"
"Microsoft .NET Toolset 9.0.314 (x64)","36.11.34881","Microsoft Corporation","","MsiExec.exe /X{79097ED3-DFA0-4C59-9859-C33DF5AF01D3}"
